id_track,id_marine,lat,lon,speed,course,age,date_add
1450004,150,43.094,131.804,90,333,3,2/23/2016 0:00
1450005,1,43.0798,131.853,0,21,2,2/23/2016 0:00
1450006,2,43.0801,131.855,0,282,4,2/23/2016 0:00
1450007,136,43.0909,131.869,0,40,4,2/23/2016 0:00
1450008,128,43.093,131.872,0,280,3,2/23/2016 0:00
1450009,5,43.0948,131.874,0,359,4,2/23/2016 0:00
1450010,114,43.0977,131.871,0,258,2,2/23/2016 0:00
1450011,130,43.0993,131.87,0,293,2,2/23/2016 0:00
1450012,12,43.1011,131.873,0,309,3,2/23/2016 0:00
1450013,14,43.0618,131.883,0,0,2,2/23/2016 0:00
1450014,15,43.0803,131.884,1,282,4,2/23/2016 0:00
1450015,135,43.0863,131.884,0,50,2,2/23/2016 0:00
1450016,125,43.0927,131.88,0,119,4,2/23/2016 0:00
1450017,122,43.0927,131.88,0,234,19,2/23/2016 0:00
1450018,18,43.0934,131.88,0,93,4,2/23/2016 0:00
1450019,19,43.0936,131.88,0,312,2,2/23/2016 0:00
1450020,20,43.0939,131.881,0,318,2,2/23/2016 0:00
1450021,137,43.0963,131.883,0,218,7,2/23/2016 0:00
1450022,138,43.0977,131.882,0,41,5,2/23/2016 0:00
1450023,139,43.098,131.882,0,12,2,2/23/2016 0:00
1450024,131,43.1007,131.883,0,268,3,2/23/2016 0:00
1450025,149,43.101,131.883,0,4,6,2/23/2016 0:00
1450026,48,43.1018,131.88,113,201,2,2/23/2016 0:00
1450027,146,43.1039,131.878,0,290,2,2/23/2016 0:00
1450028,70,43.1039,131.878,0,122,2,2/23/2016 0:00
1450029,17,43.109,131.883,0,0,4,2/23/2016 0:00
1450030,26,43.062,131.887,0,202,4,2/23/2016 0:00
1450031,27,43.0621,131.887,0,111,3,2/23/2016 0:00
1450032,94,43.0622,131.887,0,0,3,2/23/2016 0:00
1450033,28,43.0623,131.887,0,21,2,2/23/2016 0:00
1450034,30,43.0626,131.888,0,0,2,2/23/2016 0:00
1450035,116,43.082,131.891,0,86,2,2/23/2016 0:00
1450036,148,43.0855,131.888,1,129,55,2/23/2016 0:00
1450037,33,43.0859,131.889,0,236,3,2/23/2016 0:00
1450038,42,43.0903,131.892,5,30,2,2/23/2016 0:00
1450039,35,43.0906,131.892,0,278,6,2/23/2016 0:00
1450040,41,43.0911,131.893,1,239,3,2/23/2016 0:00
1450041,40,43.0911,131.893,0,320,4,2/23/2016 0:00
1450042,13,43.1037,131.887,0,159,3,2/23/2016 0:00
1450043,45,43.1044,131.889,0,59,2,2/23/2016 0:00
1450044,47,43.1057,131.891,0,0,4,2/23/2016 0:00
1450045,46,43.1058,131.892,0,64,4,2/23/2016 0:00
1450046,108,43.1061,131.893,0,0,4,2/23/2016 0:00
1450047,140,43.0657,131.902,56,136,2,2/23/2016 0:00
1450048,50,43.091,131.895,0,104,2,2/23/2016 0:00
1450049,51,43.1059,131.903,0,0,2,2/23/2016 0:00
1450050,53,43.1063,131.902,0,90,3,2/23/2016 0:00
1450051,16,43.1064,131.9,0,208,4,2/23/2016 0:00
1450052,52,43.1065,131.895,0,147,2,2/23/2016 0:00
1450053,141,43.1068,131.897,0,357,3,2/23/2016 0:00
1450054,58,43.1118,131.898,0,167,3,2/23/2016 0:00
1450055,68,43.1119,131.895,0,0,3,2/23/2016 0:00
1450056,60,43.1119,131.895,0,0,2,2/23/2016 0:00
1450057,119,43.1422,131.896,0,216,6,2/23/2016 0:00
1450058,62,43.1447,131.896,0,0,4,2/23/2016 0:00
1450059,123,43.1052,131.909,0,348,6,2/23/2016 0:00
1450060,67,43.1055,131.908,1,109,3,2/23/2016 0:00
1450061,69,43.0432,131.919,0,320,2,2/23/2016 0:00
1450062,71,43.0473,131.918,1,312,2,2/23/2016 0:00
1450063,110,43.0541,131.916,0,293,2,2/23/2016 0:00
1450064,65,43.0722,131.914,0,315,5,2/23/2016 0:00
1450065,72,43.0722,131.915,0,287,5,2/23/2016 0:00
1450066,73,43.0729,131.915,0,0,4,2/23/2016 0:00
1450067,74,43.0781,131.917,0,85,2,2/23/2016 0:00
1450068,97,43.1044,131.919,0,0,2,2/23/2016 0:00
1450069,77,43.1045,131.919,0,154,199,2/23/2016 0:00
1450070,76,43.1045,131.919,0,0,5,2/23/2016 0:00
1450071,78,43.105,131.914,0,33,2,2/23/2016 0:00
1450072,79,43.105,131.915,0,278,2,2/23/2016 0:00
1450073,80,43.1051,131.915,0,278,3,2/23/2016 0:00
1450074,81,43.1052,131.914,0,287,3,2/23/2016 0:00
1450075,82,43.1077,131.922,0,110,2,2/23/2016 0:00
1450076,83,43.1078,131.923,0,299,2,2/23/2016 0:00
1450077,84,43.1079,131.922,0,80,2,2/23/2016 0:00
1450078,86,43.1207,131.917,0,0,4,2/23/2016 0:00
1450079,55,43.0415,131.928,0,314,3,2/23/2016 0:00
1450080,144,43.0481,131.929,0,250,2,2/23/2016 0:00
1450081,31,43.0545,131.923,73,118,2,2/23/2016 0:00
1450082,142,43.0737,131.926,0,141,4,2/23/2016 0:00
1450083,89,43.1049,131.926,0,7,3,2/23/2016 0:00
1450084,90,43.1053,131.927,1,347,4,2/23/2016 0:00
1450085,88,43.1079,131.93,2,8,2,2/23/2016 0:00
1450086,92,43.1079,131.926,0,0,4,2/23/2016 0:00
1450087,93,43.0404,131.935,0,0,3,2/23/2016 0:00
1450088,115,43.0737,131.933,0,0,13,2/23/2016 0:00
1450089,118,43.0814,131.984,0,272,8,2/23/2016 0:00
1450090,147,43.0398,131.997,77,271,2,2/23/2016 0:00
1450091,98,43.0796,131.994,1,343,2,2/23/2016 0:00
1450092,99,43.0798,131.995,0,224,2,2/23/2016 0:00
1450093,100,43.0847,132.008,1,3,21,2/23/2016 0:00
1450094,143,43.0657,132.012,1,69,2,2/23/2016 0:00
1450095,102,43.0889,132.018,1,330,2,2/23/2016 0:00
1450096,113,43.0916,132.029,1,88,4,2/23/2016 0:00
1450097,134,43.0512,132.033,0,0,3,2/23/2016 0:00
1450098,111,43.0838,132.038,1,239,5,2/23/2016 0:00
1450099,103,43.0838,132.038,1,227,2,2/23/2016 0:00
1450100,133,43.0651,132.04,0,0,4,2/23/2016 0:00
